When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
N,T,63,3,5.597260274,F,K,10,Number
Y,B,63,3,5.597260274,F,K,11,Hear
N,T,63,3,5.597260274,F,K,12,Reading
N,T,63,3,5.597260274,F,K,13,Face
Y,B,22,2,5.821917808,F,K,1,See
N,T,22,2,5.821917808,F,K,2,Violin
Y,B,22,2,5.821917808,F,K,3,Face
N,T,22,2,5.821917808,F,K,4,Reading
Y,B,22,2,5.821917808,F,K,5,Hear
Y,B,22,2,5.821917808,F,K,6,Number
Y,B,22,2,5.821917808,F,K,7,Spider
Y,B,22,2,5.821917808,F,K,8,ObjPerm
Y,B,22,2,5.821917808,F,K,9,Bee
N,B,22,2,5.821917808,F,K,10,Helping
Y,B,22,2,5.821917808,F,K,11,Crying
Y,B,22,2,5.821917808,F,K,12,Fish
N,B,22,2,5.821917808,F,K,13,Gravity
N,O,24,4,5.821917808,M,K,1,See
N,T,24,4,5.821917808,M,K,2,Violin
N,O,24,4,5.821917808,M,K,3,Face
N,O,24,4,5.821917808,M,K,4,Reading
Y,B,24,4,5.821917808,M,K,5,Hear
N,T,24,4,5.821917808,M,K,6,Number
Y,O,24,4,5.821917808,M,K,7,Spider
N,O,24,4,5.821917808,M,K,8,ObjPerm
N,B,24,4,5.821917808,M,K,9,Bee
N,O,24,4,5.821917808,M,K,10,Helping
Y,B,24,4,5.821917808,M,K,11,Crying
Y,B,24,4,5.821917808,M,K,12,Fish
N,O,24,4,5.821917808,M,K,13,Gravity
Y,B,57,3,5.857534247,F,K,1,See
N,T,57,3,5.857534247,F,K,2,Violin
N,T,57,3,5.857534247,F,K,3,Gravity
Y,B,57,3,5.857534247,F,K,4,Fish
Y,B,57,3,5.857534247,F,K,5,Crying
N,T,57,3,5.857534247,F,K,6,Helping
N,O,57,3,5.857534247,F,K,7,Bee
N,T,57,3,5.857534247,F,K,8,ObjPerm
N,O,57,3,5.857534247,F,K,9,Spider
N,O,57,3,5.857534247,F,K,10,Number
Y,B,57,3,5.857534247,F,K,11,Hear
N,O,57,3,5.857534247,F,K,12,Reading
N,O,57,3,5.857534247,F,K,13,Face
N,T,1,1,5.928767123,M,K,1,Violin
Y,B,1,1,5.928767123,M,K,2,See
N,T,1,1,5.928767123,M,K,3,Gravity
N,T,1,1,5.928767123,M,K,4,Fish
Y,B,1,1,5.928767123,M,K,5,Crying
N,T,1,1,5.928767123,M,K,6,Helping
N,T,1,1,5.928767123,M,K,7,Bee
N,T,1,1,5.928767123,M,K,8,ObjPerm
N,T,1,1,5.928767123,M,K,9,Spider
N,T,1,1,5.928767123,M,K,10,Number
N,T,1,1,5.928767123,M,K,11,Hear
N,T,1,1,5.928767123,M,K,12,Reading
N,T,1,1,5.928767123,M,K,13,Face
N,B,40,4,5.980821918,M,K,1,See
